Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/myig.xml	13079	-	0	0	0	0	0	0	14	29	0	0	0	0	0	0	0	1	0	0	0	147	126	0	0	0	2	0	5
input/examples/example-redfm-01-prescricao-na-rnds.json	15238	4	17	0	1	0	0	0	1	219	0	0	0	0	0	0	0	0	0	0	0	36	2259	0	0	0	0	0	0
input/examples/example-redfm-02-prescricao-fora-rnds.json	31236	3	15	0	1	0	0	0	2	26	0	0	0	0	0	0	0	0	0	0	0	65	1258	0	0	0	0	0	0
input/examples/example-redfm-03-fornecimento-sem-crf.json	30856	4	3	0	0	0	0	0	2	16	0	0	0	0	0	0	0	1	0	0	0	62	1430	0	0	0	0	0	1
input/examples/example-redfm-04-fornecedor-e-dispensador.json	32871	3	3	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	64	1284	0	0	0	0	0	0
input/examples/example-redfm-05-nao-atendida-com-justificativa.json	32562	2	3	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0	73	1378	0	0	0	0	0	0
input/examples/example-redfm-06-parcial-com-justificativa.json	33007	4	3	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	64	1229	0	0	0	0	0	1
input/examples/example-redfm-07-lote-validade.json	15252	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	32	1289	0	0	0	0	0	0
input/examples/example-redfm-08-author-valido-cnpj.json	15245	2	1	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	30	1269	0	0	0	0	0	0
input/examples/example-redfm-09-author-valido-cpf.json	15241	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	31	1228	0	0	0	0	0	0
input/examples/example-redfm-10-ampp-sem-forma-fabricante.json	30645	2	2	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	0	65	1310	0	0	0	0	0	1
input/resources/CodeSystem-BRCBO.xml	880773	296	0	0	2	0	0	0	41	336	0	0	2	0	0	0	0	5	0	0	0	955	2034	0	0	0	38	0	24
input/resources/CodeSystem-BRCIAP2.xml	74467	16	0	0	0	0	0	0	3	18	0	0	0	0	0	0	0	1	0	0	0	126	192	0	0	0	6	0	1
input/resources/CodeSystem-BRCID10.xml	1930948	256	0	0	11	0	0	0	48	1268	0	0	3	0	0	0	0	10	0	0	0	2860	6624	0	0	0	179	0	9
input/resources/CodeSystem-BRConselhoProfissional.json	27659	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	1	0	0	0	60	73	0	0	0	2	0	0
input/resources/CodeSystem-BRJustificativaIndividuoNaoIdentificado.json	1457	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	24	0	0	0	0	0	0
input/resources/CodeSystem-BRObmAMPP.xml	5940169	420	0	0	16	0	0	0	93	10429	0	0	9	0	0	0	0	21	0	0	0	9305	53899	0	0	0	371	0	19
input/resources/CodeSystem-BRObmANVISA.xml	5758152	318	0	0	9	0	0	0	92	8952	0	0	8	0	0	0	0	15	0	0	0	9139	43004	0	0	0	357	0	26
input/resources/CodeSystem-BRObmCATMAT.xml	515378	123	0	0	2	0	0	0	12	326	0	0	1	0	0	0	0	1	0	0	0	807	659	0	0	0	37	0	2
input/resources/CodeSystem-BRObmEAN.xml	2573745	165	0	0	4	0	0	0	72	1207	0	0	4	0	0	0	0	4	0	0	0	3863	7949	0	0	0	140	0	8
input/resources/CodeSystem-BRObmVMP.xml	867175	57	0	0	0	0	0	0	17	214	0	0	2	0	0	0	0	2	0	0	0	1405	1791	0	0	0	60	0	4
input/resources/CodeSystem-BRTipoDispensacaoRealizada.json	1019	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	22	27	0	0	0	1	0	0
input/resources/CodeSystem-BRTipoDocumento.xml	2667	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	22	26	0	0	0	0	0	0
